Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure ,Precipitation ,Events ,Wind Direction
2015-4-24,63,MODERATE,74,MODERATE,PM10,8,36,74,58,74,68,43,25,49,7,10,30.1,0.16,Rain,92
2015-4-25,74,MODERATE,57,MODERATE,PM2.5,8,14,17,49,24,57,44,37,76,13,8,29.9,0.16,Rain,63
2015-4-26,57,MODERATE,41,GOOD,Ozone,8,17,38,41,15,25,46,27,54,11,10,30.06,0,,24
2015-4-27,41,GOOD,42,GOOD,Ozone,15,13,37,42,37,33,47,32,60,10,10,30.14,0,,24
2015-4-28,42,GOOD,55,MODERATE,NO2,13,10,55,44,30,33,47,34,66,5,10,30.18,0,,46
2015-4-29,55,MODERATE,65,MODERATE,NO2,15,11,65,43,51,38,50,35,59,7,10,29.98,T,,23
2015-4-30,65,MODERATE,61,MODERATE,PM2.5,8,6,29,32,41,61,45,34,71,12,10,30.11,0,,21
2015-5-1,61,MODERATE,49,GOOD,Ozone,10,14,46,49,48,41,53,38,65,6,10,30.19,0,,42
2015-5-2,49,GOOD,100,MODERATE,Ozone,9,9,58,100,65,54,63,37,46,7,10,30.09,0,,220
2015-5-3,100,MODERATE,74,MODERATE,Ozone,7,9,35,74,46,55,67,48,62,10,9,29.97,0.42,Rain-Thunderstorm,200
2015-5-4,74,MODERATE,71,MODERATE,Ozone,8,9,40,71,41,60,65,52,68,9,10,30.19,T,,285
2015-5-5,71,MODERATE,71,MODERATE,PM2.5,9,13,30,44,37,71,52,47,76,9,4,30.25,0.95,Fog-Rain-Thunderstorm,36
2015-5-6,71,MODERATE,89,MODERATE,PM2.5,8,14,48,80,62,89,62,51,79,6,3,30.22,0,Fog,57
2015-5-7,89,MODERATE,122,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,7,6,47,122,64,59,68,53,60,11,9,30.06,0.04,Rain,178
2015-5-8,122,UNHEALTHY FOR SENSITIVE GROUPS,61,MODERATE,Ozone,9,10,38,61,54,49,72,63,72,9,8,29.97,0.75,Rain-Thunderstorm,212
2015-5-9,61,MODERATE,51,MODERATE,PM2.5,15,11,24,36,23,51,56,53,86,9,5,30.11,0.29,Fog-Rain,38
2015-5-10,51,MODERATE,38,GOOD,PM2.5,17,7,18,21,16,38,50,46,92,9,4,30.06,0.14,Fog-Rain,37
2015-5-11,38,GOOD,41,GOOD,PM2.5,15,30,28,39,36,41,58,53,76,13,8,29.95,0.22,Rain,209
2015-5-12,41,GOOD,46,GOOD,PM2.5,8,21,22,33,16,46,50,38,60,17,10,30.31,T,,280
2015-5-13,46,GOOD,43,GOOD,Ozone,14,40,26,43,16,28,46,34,65,10,10,30.52,0,,37
2015-5-14,43,GOOD,51,MODERATE,PM10,10,6,32,49,51,40,55,43,63,11,9,30.38,0.24,Rain,129
2015-5-15,51,MODERATE,66,MODERATE,PM2.5,14,7,50,46,57,66,67,59,77,8,10,30.02,T,Rain,224
2015-5-16,66,MODERATE,61,MODERATE,PM2.5,14,7,43,46,49,61,71,64,80,8,9,30.02,0.03,Rain,184
2015-5-17,61,MODERATE,50,GOOD,PM2.5,9,7,16,42,41,50,74,65,74,16,8,29.99,T,Rain,177
2015-5-18,50,GOOD,55,MODERATE,SO2,8,55,25,44,47,40,63,53,64,15,10,30.14,0,,251
2015-5-19,55,MODERATE,40,GOOD,SO2,7,40,18,39,30,38,47,35,63,10,10,30.27,0,,337
2015-5-20,40,GOOD,45,GOOD,Ozone,9,14,40,45,30,27,44,32,64,8,10,30.27,0.04,Rain,24
2015-5-21,45,GOOD,58,MODERATE,Ozone,10,30,43,58,38,45,57,37,52,10,10,30.13,0,,280
2015-5-22,58,MODERATE,49,GOOD,Ozone,14,47,31,49,44,37,57,33,50,9,10,30.3,0,,63
2015-5-23,49,GOOD,97,MODERATE,Ozone,9,10,55,97,50,46,63,39,42,8,10,30.35,0,,170
2015-5-24,97,MODERATE,75,MODERATE,PM2.5,9,9,45,67,45,75,66,54,71,7,8,30.19,0.36,Rain,124
2015-5-25,75,MODERATE,47,GOOD,Ozone,9,4,37,47,31,41,72,62,66,15,9,29.95,0.07,Rain,205
2015-5-26,47,GOOD,47,GOOD,Ozone,7,7,26,47,39,45,69,64,81,13,8,29.93,0.5,Rain,191
2015-5-27,47,GOOD,45,GOOD,Ozone,8,20,37,45,40,39,67,58,68,11,10,30.13,T,,254
2015-5-28,45,GOOD,80,MODERATE,Ozone,8,9,42,80,70,55,68,54,65,6,10,30.2,0,,128
2015-5-29,80,MODERATE,60,MODERATE,PM10,8,6,44,48,60,54,72,63,71,10,9,30.04,0.2,Rain,193
2015-5-30,60,MODERATE,37,GOOD,PM2.5,8,3,23,31,27,37,58,52,88,14,8,30.14,0.41,Rain,7
2015-5-31,37,GOOD,26,GOOD,Ozone,15,3,15,26,25,25,49,39,72,16,7,30.23,T,Rain,28
2015-6-1,26,GOOD,39,GOOD,Ozone,15,14,37,39,26,33,52,39,60,9,10,30.27,0,,45
2015-6-2,39,GOOD,61,MODERATE,Ozone,11,27,40,61,49,48,56,43,58,5,10,30.22,0,,80
2015-6-3,61,MODERATE,84,MODERATE,Ozone,13,11,54,84,53,56,64,51,68,7,10,30.09,0,,157
2015-6-4,84,MODERATE,90,MODERATE,Ozone,10,14,49,90,72,64,69,59,69,7,10,30.01,0,,203
2015-6-5,90,MODERATE,52,MODERATE,PM2.5,10,4,18,48,39,52,63,54,80,15,9,30.15,0,,31
2015-6-6,52,MODERATE,48,GOOD,Ozone,16,24,34,48,37,46,62,49,71,8,10,30.18,0,,50
2015-6-7,48,GOOD,59,MODERATE,PM2.5,9,6,35,43,39,59,68,63,79,12,9,29.96,0.36,Rain-Thunderstorm,201
2015-6-8,59,MODERATE,64,MODERATE,Ozone,10,3,33,64,43,54,73,62,67,12,9,29.77,0.04,Rain-Hail-Thunderstorm,263
2015-6-9,64,MODERATE,105,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,17,27,42,105,56,71,73,57,62,9,10,29.83,0,,243
2015-6-10,105,UNHEALTHY FOR SENSITIVE GROUPS,100,MODERATE,Ozone,20,14,36,100,54,61,80,62,56,12,10,29.83,0,,233
2015-6-11,100,MODERATE,83,MODERATE,PM2.5,19,19,42,48,58,83,65,57,75,8,8,29.87,0.27,Rain,45
2015-6-12,83,MODERATE,56,MODERATE,PM2.5,22,9,28,41,38,56,62,58,93,8,4,29.96,0.13,Rain-Thunderstorm,14
2015-6-13,56,MODERATE,62,MODERATE,PM2.5,11,7,34,54,46,62,71,61,80,7,5,29.96,0.4,Fog-Rain-Thunderstorm,117
2015-6-14,62,MODERATE,51,MODERATE,PM2.5,8,6,36,43,26,51,76,68,82,7,7,29.94,0.6,Rain,223
2015-6-15,51,MODERATE,55,MODERATE,PM2.5,8,7,36,37,32,55,74,70,81,6,6,29.96,2.56,Fog-Rain-Thunderstorm,215
2015-6-16,55,MODERATE,45,GOOD,PM2.5,13,30,23,40,31,45,64,54,69,10,9,30.16,0,,33
2015-6-17,45,GOOD,59,MODERATE,PM2.5,14,7,39,36,44,59,64,58,76,5,7,30.06,0.14,Rain,153
2015-6-18,59,MODERATE,62,MODERATE,PM2.5,14,37,34,47,48,62,69,65,77,10,7,30.06,0.27,Fog-Rain-Thunderstorm,242
2015-6-19,62,MODERATE,46,GOOD,PM2.5,24,6,27,39,34,46,61,49,68,10,10,30.11,0,,36
2015-6-20,46,GOOD,61,MODERATE,PM2.5,15,29,37,43,37,61,66,58,70,7,9,29.95,0.31,Rain-Thunderstorm,331
2015-6-21,61,MODERATE,67,MODERATE,Ozone,9,16,34,67,36,54,76,65,72,8,10,29.94,0,,259
2015-6-22,67,MODERATE,74,MODERATE,PM2.5,9,4,37,35,55,74,75,71,83,10,9,29.98,0.09,Rain-Thunderstorm,212
2015-6-23,74,MODERATE,77,MODERATE,Ozone,10,14,37,77,35,55,73,55,60,10,10,30.09,0,,325
2015-6-24,77,MODERATE,60,MODERATE,PM2.5,10,9,45,49,53,60,70,58,67,5,10,30.15,T,,214
2015-6-25,60,MODERATE,64,MODERATE,Ozone,18,13,37,64,36,61,70,64,78,7,8,30.02,1.01,Rain-Thunderstorm,37
2015-6-26,64,MODERATE,79,MODERATE,PM2.5,18,6,34,49,38,79,63,58,89,9,6,30.02,0.13,Rain,33
2015-6-27,79,MODERATE,58,MODERATE,PM2.5,16,4,28,47,29,58,66,50,60,9,10,30,0,,21
2015-6-28,58,MODERATE,68,MODERATE,PM2.5,11,29,37,50,39,68,67,54,64,4,10,29.94,0.02,Rain,202
2015-6-29,68,MODERATE,73,MODERATE,PM2.5,11,4,43,50,41,73,70,63,79,4,7,29.82,0.62,Rain-Thunderstorm,105
2015-6-30,73,MODERATE,64,MODERATE,Ozone,19,4,39,64,47,61,67,60,76,9,9,29.91,0.17,Rain,322
2015-7-1,64,MODERATE,48,GOOD,PM2.5,19,10,26,36,31,48,62,51,72,7,10,30,0,,38
2015-7-2,48,GOOD,54,MODERATE,PM2.5,17,4,23,45,20,54,61,52,76,9,9,30.01,0,,37
2015-7-3,54,MODERATE,67,MODERATE,Ozone,17,20,41,67,29,58,66,53,66,4,10,29.99,0,,68
2015-7-4,67,MODERATE,134,UNHEALTHY FOR SENSITIVE GROUPS,PM2.5,16,14,54,90,86,134,70,56,62,4,9,30.03,0,,257
2015-7-5,134,UNHEALTHY FOR SENSITIVE GROUPS,183,UNHEALTHY,PM2.5,18,7,61,115,96,183,72,59,68,5,6,30.09,0,,187
2015-7-6,183,UNHEALTHY,80,MODERATE,PM2.5,11,6,34,43,59,80,75,67,79,10,7,30.01,0.49,Rain-Thunderstorm,214
2015-7-7,80,MODERATE,58,MODERATE,PM2.5,14,3,22,35,33,58,63,55,71,14,7,30.11,0.27,Rain,15
2015-7-8,58,MODERATE,49,GOOD,PM2.5,14,10,20,35,39,49,61,54,78,8,8,30.12,0.07,Rain,44
2015-7-9,49,GOOD,66,MODERATE,PM2.5,14,7,46,46,49,66,68,56,69,7,7,30.06,T,Rain,4
2015-7-10,66,MODERATE,133,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,10,4,54,133,54,76,71,56,69,4,9,30.12,0,,82
2015-7-11,133,UNHEALTHY FOR SENSITIVE GROUPS,84,MODERATE,Ozone,11,4,48,84,68,77,70,60,70,5,10,30.15,0.03,Rain,165
2015-7-12,84,MODERATE,72,MODERATE,PM2.5,9,7,29,67,44,72,76,66,74,6,8,30.02,T,,102
2015-7-13,72,MODERATE,52,MODERATE,PM2.5,7,19,31,48,42,52,77,69,78,10,9,29.88,0.42,Rain-Thunderstorm,198
2015-7-14,52,MODERATE,50,GOOD,PM2.5,11,26,29,44,49,50,72,63,70,13,10,29.91,0,,342
2015-7-15,50,GOOD,51,MODERATE,PM2.5,13,7,13,42,36,51,67,52,59,9,10,30.04,0,,38
2015-7-16,51,MODERATE,72,MODERATE,PM2.5,8,4,32,42,46,72,67,64,82,8,7,30.04,0.97,Rain-Thunderstorm,135
2015-7-17,72,MODERATE,84,MODERATE,Ozone,8,4,42,84,50,59,82,71,76,8,9,29.82,0.06,Rain-Thunderstorm,232
2015-7-18,84,MODERATE,71,MODERATE,Ozone,9,10,28,71,41,62,81,72,79,8,10,29.89,0.54,Rain-Thunderstorm,188
2015-7-19,71,MODERATE,52,MODERATE,PM2.5,8,7,37,44,19,52,75,67,67,8,10,29.9,0,,289
2015-7-20,52,MODERATE,49,GOOD,PM2.5,9,14,34,46,31,49,74,64,68,9,10,29.89,T,,270
2015-7-21,49,GOOD,45,GOOD,Ozone,7,7,44,45,21,44,74,55,57,9,10,29.94,0,,337
2015-7-22,45,GOOD,61,MODERATE,Ozone,9,11,43,61,31,48,74,55,59,5,10,29.98,0,,243
2015-7-23,61,MODERATE,156,UNHEALTHY,Ozone,8,24,53,156,43,63,74,57,58,4,10,30.01,0,,94
2015-7-24,156,UNHEALTHY,93,MODERATE,Ozone,8,6,58,93,38,68,74,61,67,7,10,30.04,0,,213
2015-7-25,93,MODERATE,126,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,8,11,28,126,31,71,80,68,61,8,10,29.94,0,,322
2015-7-26,126,UNHEALTHY FOR SENSITIVE GROUPS,66,MODERATE,PM2.5,9,13,23,44,24,66,72,65,73,5,10,29.96,T,Rain,56
2015-7-27,66,MODERATE,93,MODERATE,Ozone,10,21,28,93,23,64,78,64,65,9,10,30.01,0,,60
2015-7-28,93,MODERATE,105,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,7,9,38,105,34,68,79,68,70,6,10,29.99,0,,174
