Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-4-15,45,GOOD,44,GOOD,Ozone,6,10,39,44,10,29,59,23,28,12,10,30.15,0,,325
2015-4-16,44,GOOD,50,GOOD,NO2,6,6,50,47,10,34,51,23,46,10,10,30.39,0,,130
2015-4-17,50,GOOD,43,GOOD,PM2.5,5,1,31,41,7,43,56,47,70,13,10,29.99,0.06,Rain,237
2015-4-18,43,GOOD,51,MODERATE,PM2.5,5,1,28,48,16,51,52,42,68,9,10,29.94,0,,14
2015-4-19,51,MODERATE,39,GOOD,Ozone,2,6,17,39,6,31,46,34,66,11,10,30.23,0,,75
2015-4-20,39,GOOD,42,GOOD,Ozone,2,0,25,42,9,33,46,42,90,14,6,30.02,0.61,Rain,107
2015-4-21,42,GOOD,42,GOOD,Ozone,3,4,38,42,9,31,56,49,71,10,5,29.6,0.54,Fog-Rain-Thunderstorm,184
2015-4-22,42,GOOD,54,MODERATE,Ozone,8,3,36,54,13,36,55,39,59,15,10,29.69,T,Rain,186
2015-4-23,54,MODERATE,37,GOOD,Ozone,3,1,25,37,.,24,45,27,49,16,10,29.62,0,,272
2015-4-24,37,GOOD,34,GOOD,PM2.5,3,1,18,29,5,34,44,24,49,16,10,29.73,T,Snow,292
2015-4-25,34,GOOD,34,GOOD,Ozone,3,3,21,34,.,28,46,26,46,11,10,29.74,0,,315
2015-4-26,34,GOOD,38,GOOD,Ozone,3,1,25,38,5,27,50,33,53,6,10,29.66,0,,344
2015-4-27,38,GOOD,38,GOOD,Ozone,3,1,24,38,6,25,51,37,52,12,10,29.59,0.1,Rain,324
2015-4-28,38,GOOD,43,GOOD,Ozone,3,1,18,43,3,23,53,35,51,14,10,29.68,0.07,Rain,8
2015-4-29,43,GOOD,41,GOOD,Ozone,3,1,36,41,4,30,51,38,64,9,10,29.7,0,,91
2015-4-30,41,GOOD,38,GOOD,Ozone,3,0,25,38,8,23,50,40,72,9,10,29.88,0,,89
2015-5-1,38,GOOD,40,GOOD,Ozone,3,3,27,40,.,33,44,39,82,8,10,30,0,,85
2015-5-2,40,GOOD,42,GOOD,PM2.5,3,0,28,42,6,42,45,40,82,7,10,30,0,,103
2015-5-3,42,GOOD,51,MODERATE,Ozone,3,1,20,51,12,48,56,42,61,9,10,30.06,0,,176
2015-5-4,51,MODERATE,108,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,3,3,30,108,25,54,67,43,52,13,10,30.13,0,,206
2015-5-5,108,UNHEALTHY FOR SENSITIVE GROUPS,61,MODERATE,Ozone,5,13,37,61,15,60,62,50,66,10,10,30.16,0.02,Rain,183
2015-5-6,61,MODERATE,48,GOOD,Ozone,5,3,32,48,21,42,63,40,59,9,10,30.24,0,,122
2015-5-7,48,GOOD,67,MODERATE,Ozone,3,3,42,67,19,40,66,38,34,11,10,30.14,0,,205
2015-5-8,67,MODERATE,57,MODERATE,PM2.5,3,3,31,48,20,57,59,43,61,12,10,30.2,0,,35
2015-5-9,57,MODERATE,53,MODERATE,PM2.5,3,1,34,44,14,53,59,50,82,8,9,30.3,0,,117
2015-5-10,53,MODERATE,51,MODERATE,PM2.5,3,0,11,47,14,51,74,61,67,14,10,30.12,0,,221
2015-5-11,51,MODERATE,60,MODERATE,PM2.5,3,1,23,33,6,60,65,55,78,10,9,30.1,0,,68
2015-5-12,60,MODERATE,51,MODERATE,PM2.5,3,1,23,49,18,51,68,52,66,9,6,29.82,0.02,Rain,75
2015-5-13,51,MODERATE,44,GOOD,Ozone,3,3,19,44,8,31,61,37,44,14,10,29.97,0,,305
2015-5-14,44,GOOD,49,GOOD,Ozone,3,1,33,49,12,42,59,34,36,9,10,30.28,0,,281
2015-5-15,49,GOOD,58,MODERATE,Ozone,6,7,42,58,17,54,58,39,47,6,10,30.25,0,,134
2015-5-16,58,MODERATE,54,MODERATE,PM2.5,5,0,23,49,14,54,63,50,67,8,10,30.17,T,,194
2015-5-17,54,MODERATE,62,MODERATE,PM2.5,5,0,27,48,12,62,60,56,89,8,8,30.13,0,,97
2015-5-18,62,MODERATE,47,GOOD,PM2.5,2,0,22,46,15,47,54,48,79,10,8,30.23,0,Fog,72
2015-5-19,47,GOOD,38,GOOD,PM2.5,5,0,27,31,8,38,59,56,92,10,8,29.9,0.27,Rain,203
2015-5-20,38,GOOD,40,GOOD,PM2.5,3,0,19,37,16,40,59,41,65,14,10,29.78,0,,288
2015-5-21,40,GOOD,47,GOOD,Ozone,3,1,27,47,14,40,56,36,44,10,10,29.91,0,,211
2015-5-22,47,GOOD,54,MODERATE,Ozone,3,4,31,54,13,40,64,34,40,13,10,29.86,T,Rain,264
2015-5-23,54,MODERATE,39,GOOD,Ozone,3,0,18,39,10,31,55,23,34,13,10,30.26,0,,285
2015-5-24,39,GOOD,80,MODERATE,Ozone,3,1,14,80,17,50,67,39,40,16,10,30.22,0,,237
2015-5-25,80,MODERATE,84,MODERATE,Ozone,5,1,12,84,22,58,70,52,54,11,10,30.2,T,Rain,209
2015-5-26,84,MODERATE,74,MODERATE,Ozone,3,1,25,74,24,59,76,58,59,16,10,30.12,0,,217
2015-5-27,74,MODERATE,54,MODERATE,PM2.5,3,0,28,48,47,54,75,63,71,16,10,30.12,0,,207
2015-5-28,54,MODERATE,57,MODERATE,PM2.5,3,3,25,48,23,57,75,62,69,13,10,30.12,T,Rain,216
2015-5-29,57,MODERATE,40,GOOD,Ozone,5,1,30,40,6,30,64,57,80,8,8,30.27,0,Fog,48
