Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-3-21,57,MODERATE,65,MODERATE,PM2.5,9,9,38,41,.,65,38,28,75,5,5,30.03,T,,308
2015-3-22,65,MODERATE,41,GOOD,Ozone,7,3,15,41,.,39,36,12,41,8,10,30.04,0,,308
2015-3-23,41,GOOD,42,GOOD,Ozone,3,4,29,42,.,38,31,4,35,7,10,30.22,0,,306
2015-3-24,42,GOOD,52,MODERATE,NO2,11,6,52,42,.,41,36,8,33,4,10,30.32,0,,43
2015-3-25,52,MODERATE,80,MODERATE,NO2,15,17,80,38,35,66,42,26,57,4,9,30.32,0.05,Rain,152
2015-3-26,80,MODERATE,79,MODERATE,PM2.5,15,7,70,37,.,79,52,46,88,3,5,29.82,0.32,Rain,142
2015-3-27,79,MODERATE,35,GOOD,Ozone,8,4,32,35,.,27,43,34,69,4,9,29.75,0.27,Rain,340
2015-3-28,35,GOOD,56,MODERATE,PM2.5,5,3,24,38,.,56,33,20,56,8,9,29.87,T,Snow,339
2015-3-29,56,MODERATE,44,GOOD,Ozone,6,4,39,44,.,27,36,6,40,6,10,30.19,0,,287
2015-3-30,44,GOOD,42,GOOD,NO2,9,6,42,41,.,36,45,23,50,8,9,29.9,T,Snow,265
2015-3-31,42,GOOD,40,GOOD,NO2,7,4,40,38,8,30,41,30,65,5,8,29.82,0.17,Rain,344
2015-4-1,40,GOOD,50,GOOD,NO2,7,6,50,46,.,31,42,18,52,5,10,30.05,0,,295
2015-4-2,50,GOOD,65,MODERATE,NO2,14,11,65,58,.,53,54,24,32,6,10,30.12,0,,232
2015-4-3,65,MODERATE,61,MODERATE,PM2.5,11,4,44,42,.,61,62,50,62,7,8,29.78,0.04,Rain,238
2015-4-4,61,MODERATE,40,GOOD,Ozone,11,1,36,40,.,32,51,34,56,10,9,29.77,0.01,Rain,294
2015-4-5,40,GOOD,47,GOOD,Ozone,7,6,41,47,.,38,52,24,43,5,10,30.16,0,,280
2015-4-6,47,GOOD,63,MODERATE,PM2.5,13,6,57,50,25,63,53,36,56,4,10,30.23,0,,81
2015-4-7,63,MODERATE,70,MODERATE,NO2,14,6,70,39,.,60,52,41,66,7,8,30.23,0.15,Rain,70
2015-4-8,70,MODERATE,42,GOOD,Ozone,7,3,39,42,.,40,41,32,66,11,9,30.31,0,,70
2015-4-9,42,GOOD,55,MODERATE,PM2.5,9,3,41,42,.,55,40,35,81,9,9,30.29,0,,75
2015-4-10,55,MODERATE,61,MODERATE,PM2.5,13,3,47,39,.,61,48,42,90,5,5,29.95,0.17,Rain,340
2015-4-11,61,MODERATE,46,GOOD,Ozone,8,4,26,46,.,27,51,31,48,9,10,29.99,0,,294
2015-4-12,46,GOOD,50,GOOD,Ozone,10,6,50,50,11,42,55,28,39,3,10,30.28,0,,288
2015-4-13,50,GOOD,63,MODERATE,NO2,13,7,63,58,.,53,59,37,43,5,10,30.27,0,,204
2015-4-14,63,MODERATE,57,MODERATE,NO2,14,6,57,44,.,46,60,41,50,4,10,30.13,0.01,,307
2015-4-15,57,MODERATE,53,MODERATE,NO2,15,6,53,46,.,26,62,21,27,6,10,30.19,0,,5
2015-4-16,53,MODERATE,49,GOOD,NO2,11,4,49,48,.,32,58,25,39,7,10,30.39,0,,108
2015-4-17,49,GOOD,49,GOOD,NO2,11,6,49,44,.,44,63,51,68,5,9,30.04,0.08,Rain,245
2015-4-18,49,GOOD,84,MODERATE,Ozone,10,4,47,84,19,46,70,39,38,4,10,29.95,0,,301
2015-4-19,84,MODERATE,44,GOOD,Ozone,7,3,17,44,.,24,56,29,41,9,10,30.2,0,,94
2015-4-20,44,GOOD,48,GOOD,NO2,10,1,48,47,.,38,52,50,83,7,3,29.78,1.37,Fog-Rain,83
2015-4-21,48,GOOD,54,MODERATE,NO2,9,3,54,44,.,40,59,44,63,6,6,29.64,0.2,Rain,275
2015-4-22,54,MODERATE,60,MODERATE,NO2,8,7,60,47,.,53,59,36,49,6,10,29.69,0.05,Rain,226
2015-4-23,60,MODERATE,36,GOOD,Ozone,6,1,23,36,.,20,47,24,47,9,10,29.75,0,,290
2015-4-24,36,GOOD,46,GOOD,Ozone,3,3,24,46,8,23,46,18,35,9,10,29.87,0,,323
2015-4-25,46,GOOD,47,GOOD,NO2,5,4,47,42,.,22,50,23,36,6,10,29.81,0,,309
2015-4-26,47,GOOD,43,GOOD,Ozone,6,4,26,43,.,20,55,27,36,5,10,29.68,0,,40
2015-4-27,43,GOOD,38,GOOD,Ozone,3,4,36,38,.,20,56,30,40,6,10,29.67,0,,309
2015-4-28,38,GOOD,46,GOOD,Ozone,3,4,36,46,.,21,61,35,43,8,10,29.75,0,,15
2015-4-29,46,GOOD,54,MODERATE,Ozone,6,3,45,54,.,39,64,38,44,6,10,29.7,0,,330
2015-4-30,54,MODERATE,44,GOOD,Ozone,8,4,37,44,15,24,58,38,53,8,10,29.8,0,,84
2015-5-1,44,GOOD,40,GOOD,Ozone,11,9,37,40,.,34,56,39,59,5,10,29.96,0,,98
2015-5-2,40,GOOD,52,MODERATE,PM2.5,9,4,39,46,.,52,61,40,56,3,10,29.99,0,,172
2015-5-3,52,MODERATE,52,MODERATE,NO2,7,13,52,51,.,51,66,38,41,3,10,30.08,0,,226
2015-5-4,52,MODERATE,100,MODERATE,Ozone,10,6,69,100,.,67,71,44,47,5,10,30.16,0,,169
2015-5-5,100,MODERATE,122,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,4,77,122,.,70,76,50,44,4,10,30.17,0,,255
2015-5-6,122,UNHEALTHY FOR SENSITIVE GROUPS,58,MODERATE,Ozone,9,4,54,58,27,52,66,41,41,5,10,30.24,T,,61
2015-5-7,58,MODERATE,87,MODERATE,Ozone,9,6,60,87,.,58,68,45,54,2,10,30.19,0,,205
2015-5-8,87,MODERATE,140,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,4,57,140,.,67,69,52,62,3,6,30.15,0,,78
2015-5-9,140,UNHEALTHY FOR SENSITIVE GROUPS,69,MODERATE,PM2.5,10,3,43,38,.,69,64,55,77,4,5,30.27,0,,84
2015-5-10,69,MODERATE,54,MODERATE,PM2.5,10,1,29,36,.,54,72,61,71,4,7,30.2,0,,253
2015-5-11,54,MODERATE,78,MODERATE,PM2.5,10,1,27,45,.,78,77,65,70,4,8,30.09,T,Rain,219
2015-5-12,78,MODERATE,77,MODERATE,Ozone,8,3,35,77,37,71,75,59,58,5,8,29.85,0,,270
2015-5-13,77,MODERATE,35,GOOD,Ozone,5,1,20,35,.,29,62,38,43,7,10,30.08,0,,305
2015-5-14,35,GOOD,64,MODERATE,Ozone,5,3,36,64,.,36,62,33,37,4,10,30.34,0,,358
